wikidata_id	count
river	282735
village	188335
stream	105458
lake	103009
island	87541
watercourse	87291
protected area	77380
village in India	72267
park	72138
valley	70369
fourth-level administrative division in Indonesia	63873
townland	58171
natural watercourse	53611
movie theater	51278
spring	50256
village of Poland	49834
bodendenkmal	48134
commune of France	43159
human settlement	40314
desa	39912
canal	37519
wadi	35427
archaeological site	34977
cemetery	32422
järvi tai lampi	29975
Ortsteil	29904
village of Ukraine	25711
ward	25234
college	24119
shipwreck	23368
bay	23270
marsh	20674
village in Turkey	18313
destroyed building or structure	18072
manor estate	17927
frazione	16233
bight	15501
peninsula	15291
ridge	14849
reservoir	14644
ship	14183
Gram panchayat	14103
swamp	13077
dissolved municipality of Japan	12799
square	12199
islet	10541
historic district	10450
census-designated place	10251
feature	10234
village in Belarus	9834
Gesamtanlage	9483
mahalle	9401
rural commune of Vietnam	9355
city of the United States	9344
reef	9293
waterfall	9211
gromada of Poland	9147
municipality of Germany	9099
village-level division in China	9089
part of municipality in the Czech Republic	9034
Naturschutzgebiet	8849
kelurahan	8700
Landschaftsschutzgebiet	8562
kecamatan	7858
pond	7706
miasto	7664
commune of Italy	7554
glacier	7547
village of Taiwan	7451
town in China	7365
tumulus	7205
locality	7152
parish of New South Wales	7114
plain	7105
monastery	6981
tambon	6975
municipality of Spain	6702
cadastral area in the Czech Republic	6588
church building	6436
sports venue	6387
农场	6329
town of the United States	6201
gampong	6123
school district	6095
municipality of the Czech Republic	6022
channel	5925
stadium	5725
architectural ensemble	5724
historic site	5692
oil field	5559
municipalité du Brésil	5331
subdivisions of Russia	5308
posyolok	5118
United States of America State-level electoral district	5100
shopping center	4958
Special Area of Conservation	4952
freguesia of Portugal	4922
milestone	4865
village of Bulgaria	4813
Settlement of protohistoric times	4807
drive-in theater	4707
entidad territorial administrativa	4324
village in Estonia	4281
cadastral municipality of Austria	4219
raised bog	4196
single entity of population	4151
electoral district	3998
residential community of the People's Republic of China	3978
hydroelectric power station	3933
abandoned village	3735
parish church	3709
Samian Ware Discovery Site	3706
unincorporated community in the United States	3469
minor locality in Sweden	3466
fourth-level administrative country subdivision	3461
rural settlement of Russia	3337
village development committee of Nepal	3315
street	3307
barangay	3307
Division électorale	3304
Station of the Cross	3292
big city	3268
municipality of Switzerland	3254
urban park	3234
parish of Galicia	3193
township in the United States	3102
well	3075
kmetstvo of Bulgaria	3030
village in the United States	3016
Tibetan Buddhist monastery	3001
geographic region	2923
canton of France (until 2015)	2859
ward of Nigeria	2855
quarter	2821
Roman villa	2805
dolmen	2793
ghost town	2779
municipality of Slovakia	2771
subdistrict of China	2765
commune of Romania	2752
seat of the local council	2739
chōchō	2728
township of the People's Republic of China	2725
municipality of Hungary	2700
village of Burkina Faso	2682
urban area in Sweden	2541
brook	2492
historical country	2490
civil parishes of Ireland	2441
open air site	2438
association football venue	2425
registration district in Sweden	2414
ward of Tanzania	2404
parish council	2391
distributary	2388
human-geographic territorial entity	2363
populated place in the Netherlands	2326
rural district of Iran	2309
delegated commune	2295
municipality of Austria	2280
tjern / tjärn	2273
canyon	2247
Settlement of prehistoric times	2208
Jewish cemetery	2192
factory	2185
municipality of Mexico	2182
Burgstall	2165
desert	2163
constituency of the House of Commons	2150
château	2131
botanical garden	2107
stone grave	2105
campus	2088
cultural heritage	2058
parish of Denmark	2039
village in Latvia	2036
khutor	2028
diocese of the Catholic Church	2023
Neolithic settlement	2007
urban municipality of Germany	2006
Commonwealth War Graves Commission maintained cemetery	1981
ancient city	1978
canton of France	1969
third-level administrative country subdivision in Indonesia	1932
parish of Victoria	1921
BADACOR	1905
brewery	1861
abbey	1852
chapel	1841
ward or electoral division of the United Kingdom	1840
building complex	1832
sound	1832
filial church	1784
district of Peru	1769
contour fort	1768
second-level administrative country subdivision	1760
ward of Vietnam	1760
municipal district	1750
locality of Mexico	1750
venue	1747
ancient Roman structure	1747
mountain chain	1701
convent	1684
third-level administrative country subdivision	1678
steamship	1666
hiking trail	1627
sloop	1626
zoo	1615
township of Minnesota	1608
arena	1585
strait	1585
township of Iowa	1577
Indian reservation of Canada	1577
quarter/commune of Cambodia	1574
uzlah	1570
municipality of the Netherlands	1569
natural monument in the Czech Republic	1541
tribal area	1528
township of Pennsylvania	1525
site of community importance	1512
scenic reserve	1496
rural municipality of Poland	1485
estate	1481
geographic township of Quebec	1476
border town	1475
commune of Algeria	1473
centro cultural	1449
garden	1449
municipality of the Philippines	1447
fjord	1435
castle	1410
union council of Bangladesh	1393
group of structures or buildings	1386
township of Illinois	1384
kampung of Papua	1383
promontory	1380
civil parish	1375
rescue excavation	1361
dong of South Korea	1361
ghetto in Nazi-occupied Europe	1351
township of Kansas	1345
provincial park of Canada	1345
township of Missouri	1341
outdoor gym	1339
titular see	1337
