wikidata_id	count
clinical trial	342044
musical group	73477
co-educational school	70692
rural school	65191
commune of France	43159
przedsiębiorstwo	38311
newspaper	31586
public library	27352
high school	26211
kindergarten	25569
association football club	25420
State Bank of India branch	25261
Government Boys' Primary School	25060
nonprofit organization	24828
school	24580
博物館	23219
radio station	23169
hotel	17810
hospital	15652
political party	14911
pub	14280
Gram panchayat	14103
academic department	14035
military unit	13772
dissolved municipality of Japan	12799
university	12530
health sub-centre	10891
public company	10504
research institute	9805
middle school	9643
library network	9495
uitgeverij	9380
city of the United States	9344
municipality of Germany	9099
upper primary school	9078
record label	8994
urban school	8667
official journal	8353
state school	8349
medical organization	7950
library branch	7873
academy school	7868
lower primary school	7775
sports club	7732
archive	7657
commune of Italy	7554
project	7255
embassy	7148
higher secondary school	7063
main library	7062
monastery	6981
academic institution	6812
municipality of Spain	6702
town of the United States	6201
educational institution	6170
school district	6095
municipality of the Czech Republic	6022
Canara Bank branch	5914
open-access publisher	5831
television station	5823
faculty	5406
municipalité du Brésil	5331
ICICI Bank branch	5170
Government Girls' Primary School	5061
Bank of Baroda branch	5050
freguesia of Portugal	4922
HDFC Bank branch	4894
airline	4692
noble family	4630
research project	4554
Central Bank of India branch	4546
political coalition	4408
musée d'art	4401
Olympic delegation	4377
basketball team	4182
video game developer	4064
Axis Bank branch	4058
scientific conference series	4037
hydroelectric power station	3933
digital collection	3892
Buddhist temple	3814
wat	3726
inn	3654
college sports team	3635
research grant	3557
human settlement	3520
aided school	3516
rural settlement of Russia	3337
municipality of Switzerland	3254
voluntary association	3238
sports league	3238
Indian Overseas Bank branch	3205
ice hockey team	3168
musical ensemble	3167
cycling team season	3134
concentration camp	3131
filial church	3127
national sports team	3117
WikiProject	3083
Yes Bank branch	3080
automobile manufacturer	3076
Shinto shrine	3070
charitable organization	3037
village in the United States	3016
preschool	3012
Allahabad Bank branch	3004
Tibetan Buddhist monastery	3001
bookstore	2984
école de filles	2979
synagogue	2881
baseball team	2842
Union Bank of India branch	2818
voluntary aided school	2812
film production company	2798
political organization	2794
elite national cycling team	2772
municipality of Slovakia	2771
historical society	2753
Andhra Bank branch	2703
municipality of Hungary	2700
Indian Bank branch	2678
Industrial Development Bank of India branch	2643
istituto tecnico	2620
prison	2618
labor union	2533
UCO Bank branch	2507
theatre company	2506
architectural firm	2500
historical country	2490
sports governing body	2463
sports team	2462
engineering school	2423
parish council	2391
rock group	2378
Corporation Bank branch	2349
bodendenkmal	2326
business school	2300
delegated commune	2295
municipality of Austria	2280
Bank of India branch	2272
locality	2224
destroyer	2210
theatrical troupe	2205
miasto	2191
factory	2185
municipality of Mexico	2182
former hospital	2167
feature	2116
botanical garden	2107
musical duo	2096
campus	2088
theatre troupe	2067
parish of Denmark	2039
professional institute	2038
diocese of the Catholic Church	2023
UCI Continental Team	2020
urban municipality of Germany	2006
bank	1942
Paralympics delegation	1924
مراکز تحقیقاتی	1907
plantation	1885
non-governmental organization	1881
village	1866
brewery	1861
United Bank of India branch	1855
abbey	1852
Syndicate Bank branch	1851
Gasthaus	1840
academic library	1837
daily newspaper	1832
Bank of Maharashtra branch	1782
transport company	1781
shipwreck	1768
nation at the World Championships in Athletics	1764
shop	1755
railway company	1755
website	1737
book publisher	1734
duo	1733
higher education institution	1726
voluntary controlled school	1699
bus company	1693
boarding school	1690
convent	1684
municipal archive	1674
learned society	1664
school building	1640
container ship	1640
Kotak Mahindra Bank branch	1638
Dena Bank branch	1622
private not-for-profit educational institution	1618
zoo	1615
orchestra	1609
big city	1593
Candomblé terreiro	1585
Indian reservation of Canada	1577
laboratory	1570
county seat	1570
municipality of the Netherlands	1569
Dutch municipal council	1567
public educational institution of the United States	1557
institute	1550
American football team	1535
church building	1510
rural municipality of Poland	1485
geographic township of Quebec	1476
commune of Algeria	1473
Welsh-medium school	1470
U-boat	1465
university and college sports club	1461
centro cultural	1449
municipality of the Philippines	1447
Ortsteil	1424
bulk carrier	1413
cultural institution	1379
Oriental Bank of Commerce branch	1365
association football team	1364
sports tour	1352
government organization	1351
privately held company	1344
titular see	1337
boys' school	1327
rural municipality of Austria	1320
medical school	1312
rural commune of Morocco	1250
rugby union team	1245
former municipality of Switzerland	1241
Federal Bank branch	1229
broadcaster	1204
national association football team	1182
Narrenzunft	1149
subcommittee of a technical committee	1148
architectural structure	1147
Vijaya Bank branch	1144
retail chain	1139
private university	1134
former municipality	1130
ski resort	1129
photographic studio	1128
coal-fired power station	1123
priory	1121
道之驿	1115
choir	1112
Pragathi Krishna Gramin Bank branch	1097
school for special needs education	1074
parish of the Church of Sweden	1066
aircraft fleet	1065
municipality of Colombia	1064
legal person	1061
cultural heritage	1056
amusement park	1045
memory institution	1043
liceo scientifico	1017
公立大学	1015
Government Boys' High School	1007
subdistrict administrative organization	995
association football league	993
library building	980
facility	979
Public institution of intermunicipal cooperation with own taxation	973
winery	971
video game publisher	970
stock exchange	965
historical motorcycle manufacturer	964
primary health centre	955
Jammu & Kashmir Bank branch	953
smack	952
law enforcement agency	948
advocacy group	944
borough of Pennsylvania	944
house	943
federal electoral district of Canada	937
golf club	933
Punjab and Sind Bank branch	923
brand	921
international organization	915
military museum	910
vocational school in Indonesia	908
municipality of Catalonia	908
ship	899
South Indian Bank branch	894
law school	890
subdistrict municipality	887
town of New York	885
archaeological site	882
scientific society	881
artist collective	871
Berufsverband	867
cargo ship	857
school district in the United States	852
club cycling team	846
medical facility	844
art school	841
Christian denomination	840
cricket team	838
unicameral legislature	836
commune of Morocco	829
pressure group	827
polis	827
municipal library	825
sibling duo	824
trade association	821
handbollslag	819
Government Boys' Lower Secondary School	817
Japanese upper secondary school	809
tram system	804
Karnataka Bank Limited branch	798
cultural property	795
military decoration	794
movie theater	792
astronomical observatory	791
sports organization	789
shipyard	784
club	780
subsidiary	779
archaeological museum	776
Chitalishte	776
elementary school in Japan	771
restaurant chain	763
部落	762
advisory group	759
auto racing team	756
market municipality	750
frigate	749
arts centre	740
women's association football team	737
municipality of Croatia	737
volleyball team	736
Andhra Pradesh Grameena Vikas Bank branch	733
town of Japan	720
dynasty	719
Karur Vysya Bank branch	719
community college	712
foundation school	709
city of Japan	708
private school	700
populated place in the Netherlands	700
law firm	697
religious organization	689
family	687
specialty channel	679
Rajasthan Marudhara Gramin Bank branch	679
folyóirat	677
film studio	676
online newspaper	673
rowing club	672
associated commune	672
think tank	667
wind farm	666
town council	664
tenement	663
