wikidata_id	count
twin	371
notname	361
ambassador of the United States of America	209
human who may be fictional	181
ambassador of the United Kingdom	179
federally recognized Native American tribe in the United States	173
pseudonym	173
ambassador of Romania	166
position	161
French ambassador	161
ambassador of Germany	160
professional name	153
Spanish ambassador	152
ambassador to the United States of America	148
ambassador of Canada	132
Holocaust survivor	130
Israeli ambassador	122
ambassador to the People's Republic of China	115
ambassador of Iceland	113
pseudo-author	113
ambassadeur de Chine	102
Amoraim of Babylon	94
Wikimedia duplicated page	94
Tannaim	93
ambassador of Ukraine	83
ambassador to Canada	82
ambassador to France	75
ambassador to the United Kingdom	74
human fetus	72
human biblical figure	71
ambassador of Hungary	69
Saudi Arabia ambassador	62
Wikimedia list article	62
ambassador of Mexico	60
ambassador to Spain	56
legendary figure	54
anonymous	54
ambassador to Hungary	53
musical group	53
conflation	52
ambassador to the Russian Federation	51
ambassador of Turkey	51
hypothetical person	51
High Commissioner of the United Kingdom	50
ambassador of Japan	49
fictional human	48
pharaoh	45
Saqqara king	44
Botschafter in Deutschland	42
Permanent Representative to the United Nations	42
solo project	39
minister	39
Police and Crime Commissioner	39
ambassador to Japan	38
ambassador of Palestine	35
fictional human formerly considered to be historical	35
ambassador to Belgium	34
nation	34
ambassador of Uruguay	34
ambassador of Morocco	34
ambassador to Austria	33
ambassador to Uruguay	33
ambassador of the Russian Federation	33
human population	33
ambassador to the Holy See	32
inhabitant	32
ambassador to Italy	31
pen name	31
ambassador to Turkey	30
geographic entity	30
ambassador to Poland	29
ambassador of Belgium	28
organization	28
ambassador to Angola	28
Permanent Secretary	28
ambassador to Portugal	27
ambassador to Switzerland	27
ambassador of Norway	27
Native Americans in the United States	27
ambassador of Sweden	26
ambassador of Finland	26
indigenous peoples of the Americas	26
kami	26
ambassador of Australia	25
ambassador of Argentina	25
fictional character	25
Director of Bureau	25
mythical character	25
ambassador to Ireland	24
ambassador to Egypt	24
ambassador to Brazil	24
civil servant	24
Ambassador of East Germany	24
ambassador to Sweden	23
ambassador to Pakistan	23
ambassador of Albania	23
ambassador to South Africa	23
ombudsman	23
person	23
ambassador of East Timor	22
ambassador to India	22
ambassador of Poland	22
ambassador to Argentina	21
ambassador to Israel	21
ambassador to the Netherlands	21
ambassador to Romania	21
ambassador of Angola	21
mummy	21
mythological Greek character	21
ambassador to Denmark	20
ambassador to Chile	20
ambassador of Estonia	20
ambassador of the Republic of Austria	20
ambassador to Cuba	20
prisoner of a Nazi concentration camp	20
passenger	20
ambassador to Lebanon	19
ambassador to Mozambique	19
ambassador to Kenya	19
ambassador to Mexico	19
prisoner	19
ambassador of India	19
ambassador to South Korea	18
ambassador to Australia	18
ambassador to Norway	18
ambassador to Bulgaria	18
ambassador to Malaysia	18
ambassador of Colombia	18
ambassador to Peru	18
mythological king	18
mononymous person	18
ambassador to Morocco	17
ambassador to Tunisia	17
ambassador to Greece	17
ambassador to the Soviet Union	17
ambassador of Iran	17
ambassador to Iran	16
ambassador to Bangladesh	16
ambassador of Italy	16
refugee	16
ambassador to Ukraine	16
ambassador to Qatar	16
profession	16
ambassador of Brazil	16
board member	16
ambassador to Venezuela	15
ambassador to Slovakia	15
ambassador to Turkmenistan	15
ambassador to Rwanda	15
public office	15
ambassador to Finland	15
ambassador to Latvia	15
ambassador to Thailand	15
ambassador to Cyprus	15
ambassador to Iraq	15
ambassador to Singapore	15
ambassador to Saudi Arabia	15
ambassador to Croatia	15
ambassador to Ethiopia	15
group of humans	15
literary character	15
ambassador of Greece	15
ambassador of Belarus	15
prosopographical phantom	15
ambassador to Indonesia	14
ambassador to the Czech Republic	14
ambassador to Kuwait	14
ambassador to Jordan	14
ambassador to Syria	14
ambassador to Luxembourg	14
ambassador to Algeria	14
ambassador of the Soviet Union	14
ambassador of Switzerland	14
ambassador to Belarus	14
ambassador to Ecuador	14
ambassador to Moldova	14
ambassador to Vietnam	14
endling	14
YouTube channel	14
male human	14
ambassador to the United Arab Emirates	13
ambassador to Senegal	13
ambassador to Sudan	13
ambassador to Nepal	13
ambassador to Kyrgyzstan	13
ambassador to Zimbabwe	13
ambassador of Portugal	13
Native American tribe	13
ambassador to Libya	13
ambassador to Estonia	13
ambassador to the Philippines	13
ambassador to North Macedonia	13
ambassador to Kazakhstan	13
ambassador to Colombia	13
ambassador to Panama	13
ambassador to Serbia	13
ambassador of Egypt	13
ambassador of Peru	13
archaeological find	13
ambassador to the Dominican Republic	12
ambassador to Nigeria	12
ambassador to Azerbaijan	12
ambassador of the Netherlands	12
ambassador to Iceland	12
ambassador to New Zealand	12
ambassador to Uzbekistan	12
ambassador to East Germany	12
ambassador to Yugoslavia	12
ambassador to Paraguay	12
ambassador to Montenegro	12
ambassador to Bosnia and Herzegovina	12
ambassador of Tunisia	12
ambassadeur d'Algérie	12
ambassador of Cyprus	12
honorary member	12
music unit	12
uitgeverij	12
Ambassador to the Imperial China	11
convict on death row in Japan	11
ambassador to Slovenia	11
ambassador to Bahrain	11
