wikidata_id	count
nonprofit organization	4209
legal person	1046
open-access publisher	538
academic department	536
charitable organization	442
مراکز تحقیقاتی	241
research institute	223
SNSM station	205
website	197
medical association	167
uitgeverij	153
Berufsverband	134
public library	132
library network	132
facility	131
博物館	131
faculty	129
women's association	128
United States of America State-level electoral district	123
educational institution	122
film organization	119
learned society	116
non-governmental organization	115
university	111
przedsiębiorstwo	109
Christian organization	98
National Red Cross and Red Crescent Society	98
advocacy group	93
government agency	89
academic institution	84
501(c)(3) organization	82
trade association	80
company	79
photographic studio	75
Islamic organization	66
public company	65
think tank	65
video game developer	62
herbarium	62
laboratory	59
engineering society	52
project	51
colonial society	51
sports governing body	51
building	50
voluntary association	49
labor union	49
theatre company	46
higher education institution	45
interdisciplinary program	44
international organization	41
political party	39
disability rights organization	39
school accreditor	38
holding company	38
academy of sciences	38
historical society	36
medical organization	35
degree program	35
video game publisher	34
bank	32
archive	32
brand	31
scientific society	31
WikiProject	31
academic administration	31
online database	30
group of humans	29
student society	29
501(c)(4) organization	29
national research and education network	28
committee	28
society	28
Jewish organization	28
regulatory college	28
school	28
university research group	28
centro cultural	27
lottery	26
library	26
database	26
book publisher	25
institute	25
concern	25
cultural institution	24
social movement	24
hospital	24
library association	23
private university	23
human	23
pension fund	23
通讯社	22
department	22
law firm	22
umbrella organization	22
music festival	21
educational organization	21
sports organization	21
government program	21
interfaith organization	21
record label	21
copyright collective	20
human rights organization	20
recurring event	20
theatre festival	20
political organization	20
collaboration	20
LGBTI+ rights organization	19
environmental organization	19
college	19
musical group	19
folyóirat	18
business school	18
pressure group	18
astronomical observatory	17
Fachverband	17
office for the preservation of historical monuments	17
festival	17
United States federal agency	17
position	17
club	17
church building	16
theatrical troupe	16
academy	16
religious organization	16
news website	16
group	16
award	15
artist society	15
academic journal	15
government organization	15
annual event	15
dance organization	14
राजनैतिक आन्दोलन	14
art gallery	14
hate group	14
insurance company	14
paramilitary	14
membership organization	13
opera house	13
research project	13
musée d'art	13
architectural firm	13
heritage centre	13
television channel	13
employer	13
brewery	13
trademark	12
youth organization	12
collection	12
railway company	12
convention	12
video game news website	12
software	12
tourist attraction	12
intergovernmental organization	11
botanical garden	11
art collection	11
movie theater	11
newspaper	11
chamber of commerce	11
Christian denomination	11
production company	11
women's rights organization	11
Place of Gestapo terror	11
architectural structure	11
consortium	11
Native American organization	11
memory institution	11
standards organization	10
monastery	10
